    107 species:ncbi:40685	sauce
    107 species:ncbi:3808	acacia
    106 species:ncbi:9839	Lama
    106 species:ncbi:42163	Podarcis
    106 species:ncbi:13516	Eupatorium
    105 species:ncbi:8032	trucha
    104 species:ncbi:9688	Panthera
    104 species:ncbi:5338	seta
    104 species:ncbi:4539	Panicum
    104 species:ncbi:33614	buitre negro
    104 species:ncbi:30396	Buteo
    104 species:ncbi:260141	cerezo
    103 species:ncbi:9900	Bison
    103 species:ncbi:6447	molusco
    103 species:ncbi:13230	mezquita
    102 species:ncbi:9206	cormorán
    102 species:ncbi:8960	Aquila
    102 species:ncbi:6040	esponja
    101 species:ncbi:8931	Columba
    101 species:ncbi:4457	Arum
    101 species:ncbi:3468	amapola
    101 species:ncbi:3435	aguacate
    101 species:ncbi:24208	lila
    101 species:ncbi:1903720	bacilo
    100 species:ncbi:9901	búfalo
    100 species:ncbi:9207	Phalacrocorax
    100 species:ncbi:32538	ocelote
    100 species:ncbi:13757	viola
     99 species:ncbi:52190	basilisco
     99 species:ncbi:3655	pepino
     99 species:ncbi:3633	Gossypium
     98 species:ncbi:96479	Malva
     98 species:ncbi:9158	gorrión
     98 species:ncbi:466552	pavos
     98 species:ncbi:3593	Cactaceae
     97 species:ncbi:9376	musarañas
     97 species:ncbi:3879	alfalfa
     97 species:ncbi:30459	lechuza
     96 species:ncbi:6693	langosta
     96 species:ncbi:4295	Ilex
     96 species:ncbi:41395	teca
     95 species:ncbi:6178	lombriz
     95 species:ncbi:4701	Scilla
     95 species:ncbi:3504	Betula
     95 species:ncbi:18794	Senecio
     95 species:ncbi:173312	jurel
     94 species:ncbi:6083	Hydra
     94 species:ncbi:3700	Brassicaceae
     92 species:ncbi:9187	mirlo
     92 species:ncbi:26339	Iridaceae
     92 species:ncbi:13402	Carya
     91 species:ncbi:9843	vicuña
     91 species:ncbi:9755	cachalote
     91 species:ncbi:36257	Anthus
     91 species:ncbi:21024	Fagus
     91 species:ncbi:20400	Astragalus
     91 species:ncbi:183601	Regina
     90 species:ncbi:9644	oso pardo
     90 species:ncbi:6855	escorpión
     90 species:ncbi:25641	Aloe
     90 species:ncbi:13408	Celtis
     89 species:ncbi:9681	Felidae
     89 species:ncbi:9120	Fulica
     89 species:ncbi:3712	Brassica oleracea
     88 species:ncbi:538669	cocos
     88 species:ncbi:29137	manatí
     87 species:ncbi:4520	Lolium
     87 species:ncbi:43333	Mazama
     87 species:ncbi:3609	Rhamnus
     87 species:ncbi:3511	bellota
     87 species:ncbi:21896	Teucrium
     87 species:ncbi:13402	nogal
     86 species:ncbi:9690	Panthera onca
     86 species:ncbi:9682	Felis
     86 species:ncbi:43148	golondrina
     85 species:ncbi:4071	Capsicum
     85 species:ncbi:3445	Ranunculus
     85 species:ncbi:198806	combatiente
     84 species:ncbi:7147	Diptera
     84 species:ncbi:43462	Cinchona
     84 species:ncbi:1280	Staphylococcus aureus
     83 species:ncbi:9980	Lepus
     83 species:ncbi:9592	Gorilla
     83 species:ncbi:9109	grullas
     83 species:ncbi:8516	iguana
     83 species:ncbi:7553	milpiés
     83 species:ncbi:61382	Leopardus wiedii
     82 species:ncbi:9840	guanaco
     82 species:ncbi:8954	Falco peregrinus
     82 species:ncbi:7901	esturión
     82 species:ncbi:41487	Baccharis
     82 species:ncbi:146712	Puma
     81 species:ncbi:9242	colibríes
     81 species:ncbi:8894	Apus
     81 species:ncbi:35715	Prosopis
     81 species:ncbi:34924	urraca
     81 species:ncbi:13353	bonito
     80 species:ncbi:38626	koala
     79 species:ncbi:8963	Circus
     79 species:ncbi:8927	Ciconia
     79 species:ncbi:85545	paíños
     79 species:ncbi:51754	camaleón
     79 species:ncbi:466544	codornices
     79 species:ncbi:3452	Clematis
     79 species:ncbi:115696	Ptilinopus
     78 species:ncbi:9900	bisonte
     78 species:ncbi:9614	coyote
     78 species:ncbi:50403	Vanellus
     77 species:ncbi:9443	Primates
     77 species:ncbi:9193	verdugos
     77 species:ncbi:3705	Brassica
     77 species:ncbi:24735	Ulmus
     77 species:ncbi:1903720	bacilos
     76 species:ncbi:586	Providencia
     76 species:ncbi:54362	Laterallus
     76 species:ncbi:4609	Cyperaceae
     76 species:ncbi:4564	Triticum
     76 species:ncbi:3649	papaya
     76 species:ncbi:13124	Lynx
     75 species:ncbi:4136	Lamiaceae
     75 species:ncbi:3977	Euphorbiaceae
     75 species:ncbi:3760	melocotón
     75 species:ncbi:34572	Nautilus
     75 species:ncbi:3193	Embryophyta
     75 species:ncbi:24966	Rubiaceae
     74 species:ncbi:9644	Ursus arctos
     74 species:ncbi:46995	Helleborus
     74 species:ncbi:43150	golondrina común
     74 species:ncbi:29073	oso polar
     74 species:ncbi:106975	Opuntia
     73 species:ncbi:9885	Muntiacus
     73 species:ncbi:7742	vertebrado
     73 species:ncbi:6447	Mollusca
     73 species:ncbi:4163	Digitalis
     73 species:ncbi:4037	Apiaceae
     73 species:ncbi:3501	ortiga
     73 species:ncbi:23012	Kalanchoe
     73 species:ncbi:15869	Stipa
     72 species:ncbi:9800	tapir
     72 species:ncbi:9696	Puma concolor
     72 species:ncbi:9653	mapache
     72 species:ncbi:9159	Passer
     72 species:ncbi:8497	caimán
     72 species:ncbi:4932	Saccharomyces cerevisiae
     72 species:ncbi:3315	Thuja
     71 species:ncbi:49606	Lonicera
     70 species:ncbi:9933	Gazella
     70 species:ncbi:9376	musaraña
     70 species:ncbi:9186	Turdus
     70 species:ncbi:25623	tejo
     70 species:ncbi:12947	Aristolochia
     69 species:ncbi:9600	orangután
     69 species:ncbi:9225	Ara
     69 species:ncbi:4677	Liliaceae
     69 species:ncbi:4583	grama
     69 species:ncbi:4382	Lobelia
     69 species:ncbi:36304	Strix
     69 species:ncbi:33090	Viridiplantae
     69 species:ncbi:286	Pseudomonas
     69 species:ncbi:13422	Chrysanthemum
     69 species:ncbi:10912	rotavirus
     68 species:ncbi:9239	Spheniscus
     68 species:ncbi:7935	anguila
     68 species:ncbi:49188	Aconitum
     68 species:ncbi:30538	alpaca
     67 species:ncbi:57380	cálao
     67 species:ncbi:4512	Hordeum
     67 species:ncbi:4306	Euonymus
     67 species:ncbi:3712	brócoli
     67 species:ncbi:13442	Coffea
     66 species:ncbi:9126	Passeriformes
     66 species:ncbi:425200	Lycalopex
     66 species:ncbi:33610	quebrantahuesos
     66 species:ncbi:22140	Annonaceae
     65 species:ncbi:9639	Ursus
     65 species:ncbi:7509	pulga
     65 species:ncbi:43363	Aesculus
     65 species:ncbi:36304	cárabo
     65 species:ncbi:36252	Carduelis
     65 species:ncbi:3469	adormidera
     64 species:ncbi:9992	marmota
     64 species:ncbi:33577	espátula
     63 species:ncbi:53862	Dalbergia
     63 species:ncbi:3904	algarroba
     63 species:ncbi:210	Helicobacter pylori
     63 species:ncbi:1181258	boga
     62 species:ncbi:9992	Marmota
     62 species:ncbi:9940	ovino
     62 species:ncbi:9870	reno
     62 species:ncbi:9852	alce
     62 species:ncbi:8930	Columbidae
     62 species:ncbi:8796	Rhea
     62 species:ncbi:4123	enredadera
     62 species:ncbi:3440	Ranunculaceae
     61 species:ncbi:7041	Coleoptera
     61 species:ncbi:4695	Hippeastrum
     61 species:ncbi:39350	albahaca
     61 species:ncbi:37579	pitón
     61 species:ncbi:3749	Malus
     61 species:ncbi:36048	trufa
     61 species:ncbi:3481	de la marihuana
     61 species:ncbi:255477	Pila
     61 species:ncbi:204266	tejón
     61 species:ncbi:12989	Carpinus
     61 species:ncbi:1163	Anabaena
     60 species:ncbi:9933	gacela
     60 species:ncbi:9707	morsa
     60 species:ncbi:8956	gavilanes
     60 species:ncbi:8292	Anfibios
     60 species:ncbi:42749	Phelsuma
     60 species:ncbi:3983	mandioca
     60 species:ncbi:23222	Sorbus
     60 species:ncbi:21013	Mimosa
     60 species:ncbi:13427	achicoria
     59 species:ncbi:7164	Anopheles
     59 species:ncbi:6935	garrapata
     59 species:ncbi:6608	sepia
     59 species:ncbi:55962	Hypericum
     59 species:ncbi:3310	Ginkgo
     59 species:ncbi:30460	Bubo
     58 species:ncbi:9895	Bovidae
     58 species:ncbi:9855	Axis
     58 species:ncbi:72402	sen
     58 species:ncbi:4710	Arecaceae
     58 species:ncbi:3558	Chenopodium
     58 species:ncbi:3318	Pinaceae
     58 species:ncbi:1132172	cascabel
     57 species:ncbi:9005	Phasianidae
     57 species:ncbi:8353	Xenopus
     57 species:ncbi:61376	Felis chaus
     57 species:ncbi:59070	Fritillaria
     57 species:ncbi:48796	Setaria
     57 species:ncbi:48035	cicuta
     57 species:ncbi:32538	Leopardus pardalis
     56 species:ncbi:8949	Falconidae
     56 species:ncbi:4074	Datura
     56 species:ncbi:3925	Lonchocarpus
     56 species:ncbi:24921	Violaceae
     56 species:ncbi:11308	virus de la gripe
     56 species:ncbi:111821	cárabo común
     55 species:ncbi:9225	guacamayo
     55 species:ncbi:9183	zorzal
     55 species:ncbi:50248	trepatroncos
     55 species:ncbi:3883	Phaseolus
     55 species:ncbi:3766	Pyrus
     55 species:ncbi:3725	Raphanus
     55 species:ncbi:3696	álamo
     55 species:ncbi:33208	Animalia
     55 species:ncbi:3315	tuya
     55 species:ncbi:24735	olmo
     55 species:ncbi:13336	Annona
     54 species:ncbi:8899	Ardeidae
     54 species:ncbi:59448	Barbastella
     54 species:ncbi:210	H. pylori
     54 species:ncbi:10239	vírico
     53 species:ncbi:7901	Acipenser
     53 species:ncbi:56313	Tyto alba
     53 species:ncbi:43149	Hirundo
     53 species:ncbi:3781	Crassulaceae
     53 species:ncbi:3503	Fagaceae
     53 species:ncbi:30650	lirón
     53 species:ncbi:115878	Microcycas
     52 species:ncbi:9874	Odocoileus virginianus
     52 species:ncbi:9172	estornino pinto
     52 species:ncbi:6448	Gastropoda
     52 species:ncbi:4697	Narcissus
     52 species:ncbi:4672	Dioscorea
     52 species:ncbi:43868	Commiphora
     52 species:ncbi:40674	Mammalia
     52 species:ncbi:3904	Vicia
     52 species:ncbi:3504	abedul
     52 species:ncbi:3468	Papaver
     52 species:ncbi:22868	anémona
     52 species:ncbi:13492	Diospyros
     51 species:ncbi:9996	Spermophilus
     51 species:ncbi:85823	cucaracha
     51 species:ncbi:7950	arenque
     51 species:ncbi:69721	Cala
     51 species:ncbi:56073	Egretta
     51 species:ncbi:50391	Charadrius
     51 species:ncbi:4085	Nicotiana
     51 species:ncbi:3841	Erythrina
     51 species:ncbi:36723	armiño
     51 species:ncbi:36241	cigüeña negra
     51 species:ncbi:3500	Urtica
     51 species:ncbi:21910	Verbenaceae
     51 species:ncbi:194	Campylobacter
     51 species:ncbi:182946	hornero
     51 species:ncbi:1578	Lactobacillus
     51 species:ncbi:10184	Castor
     50 species:ncbi:9860	Cervus elaphus
     50 species:ncbi:9823	Sus scrofa
     50 species:ncbi:9119	Rallidae
     50 species:ncbi:727	Haemophilus influenzae
     50 species:ncbi:56082	Melanerpes
     50 species:ncbi:46841	Leopardus
     50 species:ncbi:4592	Agropyron
     50 species:ncbi:3758	ciruela
     50 species:ncbi:33617	Pelecanus
     50 species:ncbi:1485	Clostridium
     50 species:ncbi:10114	Rattus
     49 species:ncbi:8930	tórtola
     49 species:ncbi:55039	zorro gris
     49 species:ncbi:4930	Saccharomyces
     49 species:ncbi:4078	Hyoscyamus
     49 species:ncbi:3650	Cucurbitaceae
     49 species:ncbi:338151	félido
     49 species:ncbi:100370	Croton
     48 species:ncbi:9672	nutria gigante
     48 species:ncbi:9643	Ursus americanus
     48 species:ncbi:88112	calandria
     48 species:ncbi:72542	cabra montés
     48 species:ncbi:71120	civeta
     48 species:ncbi:6865	Buthus
     48 species:ncbi:662561	sambar
     48 species:ncbi:5820	Plasmodium
     48 species:ncbi:54483	Porphyrio
     48 species:ncbi:5052	Aspergillus
     48 species:ncbi:4246	Arnica
     48 species:ncbi:3896	Sophora
     48 species:ncbi:3760	durazno
     48 species:ncbi:15869	espiguilla
     47 species:ncbi:9808	Rhinoceros
     47 species:ncbi:9785	elefante africano
     47 species:ncbi:9740	marsopa
     47 species:ncbi:6995	grillo
     47 species:ncbi:56797	Hexaprotodon
     47 species:ncbi:4454	Araceae
     47 species:ncbi:41617	Osteospermum
     46 species:ncbi:9665	Mustela
     46 species:ncbi:9578	Hylobates
     46 species:ncbi:9539	Macaca
